incident_id,incident_name,incident_summary,category_flow,llm_suggestion_1.5,llm_suggestion_2.0
1,"Cyberattack on water plant"",","In 2024, several water and wastewater facilities in the United States were targeted by cyber attacks. Hackers remotely accessed and manipulated Supervisory Control and Data Acquisition (SCADA) systems, leading to operational disruptions. While most incidents were caught early and switched to manual control, one water treatment facility in Arkansas City, Kansas, also had to revert to manual operations due to a similar incident. Additionally, American Water's customer account system was disrupted, impacting customer access and services, highlighting the vulnerability of critical infrastructure and related systems to cyber threats.","['DCA', 'OIA', 'BPA']","['DCA', 'OIA']","['DCA', 'OIA', 'PSI']"
2,"Ransomware attack on utility systems"",","Ransomware attacks, where malicious software encrypts data and demands payment for its release, are a growing threat to the energy and utilities sector. These attacks target operational and customer data, potentially disrupting power generation, distribution, and transmission. Consequences can include widespread power outages affecting essential services, data breaches, and financial losses. To mitigate these risks, energy and utility companies must prioritize robust cybersecurity measures and incident response planning.","['DCA', 'OIA']","['DCA', 'OIA', 'EFA']","['DCA', 'OIA', 'EFA']"
3,"SCADA system breach in power grid"",","Cyberattacks targeting critical infrastructure, such as power grids and water companies, pose significant risks. In Ukraine, attackers twice disrupted power supply by deploying malware like BlackEnergy to disable SCADA systems, leading to outages affecting hundreds of thousands of people. The Kemuri water company also experienced a breach with similar malware. These incidents highlight the vulnerability of critical infrastructure to cyber threats and the potential for widespread disruption, emphasizing the need for robust cybersecurity measures to protect essential services globally. The attacks also demonstrated how malware can spread through network file shares and removable media.","['DCA', 'OIA']","['DCA', 'OIA']","['DCA', 'OIA']"
4,"Chemical leak due to cyber attack"",","A recent audit revealed that many US chemical plants are using outdated cybersecurity measures, leaving them susceptible to cyberattacks. These attacks, potentially carried out by nation-states like Iran or Russia, could target operational safety systems. A past attack in Saudi Arabia, for example, aimed to trigger an explosion, highlighting the potential for deadly consequences beyond financial extortion. This vulnerability raises concerns about future chemical leaks or explosions at US facilities due to inadequate cybersecurity. The incident emphasizes the urgent need for updated and robust cybersecurity protocols in the chemical industry.","['DCA', 'OIA', 'BPA']","['DCA', 'OIA', 'BPA']","['DCA', 'OIA', 'BPA']"
5,"Data breach in a water treatment facility"",","In September 2024, the Arkansas City, Kansas water treatment facility experienced a cybersecurity incident that forced a temporary shift to manual operations after staff noticed irregular activity through standard process monitoring. While water supply remained unaffected, the incident prompted enhanced security measures and involvement of authorities. Separately, American Water suffered a cyberattack in October 2024 that disrupted its MyWater account system, impacting customer access and call center operations, though water and wastewater facilities remained operational. These incidents highlight the vulnerability of critical infrastructure and utilities to cyber threats, emphasizing the need for robust cybersecurity measures to protect essential services and customer data.","['DCA', 'OIA']","['DCA', 'OIA']","['DCA', 'OIA']"
6,"AI-driven drone disrupts infrastructure"",",AI-controlled drones could be used in coordinated swarms to attack civilian infrastructure. Power grids are a potential target. Such an attack could cripple essential services. This highlights the risk of AI-powered drones being weaponized to disrupt civilian life.,"['OIA', 'EFA']",['OIA'],['OIA']
7,"Bioterrorism attack on food supply"",","An attack on the food supply, likely detected through sick individuals or animals at the local level, necessitates a coordinated response with public health officials. The primary targets are humans and animals consuming contaminated food. The consequences of such an attack could be economically catastrophic and result in loss of life. To mitigate these risks, a multi-faceted approach across the entire food production chain is crucial, emphasizing both food defense against deliberate attacks and ongoing food safety measures to prevent unintentional contamination.","['BPA', 'EFA', 'OIA']","['BPA', 'EFA']","['BPA', 'EFA']"
8,"Quantum computer breach on encrypted data"",","A potential cybersecurity threat involves attackers collecting encrypted data now with the intent to decrypt it later using future quantum computers. This method targets any data secured by current encryption algorithms. The consequence would be the compromise of sensitive information once quantum computers are powerful enough to break the encryption. This highlights the risk that advancements in quantum computing pose to current data security practices, requiring proactive measures to mitigate future vulnerabilities.","['DCA', 'AAT']",['DCA'],['DCA']
9,"Hacking group targets hospital infrastructure"",","In July 2024, the U.S. Department of Justice announced criminal charges against a North Korean operative for involvement in ransomware attacks. The attacks, which occurred approximately two years prior, utilized Maui ransomware to target U.S. hospitals and healthcare providers. These attacks held the organizations' data hostage, disrupting their operations. The Justice Department emphasized its commitment to pursuing malicious cyber actors targeting critical infrastructure, signaling ongoing efforts to protect against future attacks.","['DCA', 'PSI', 'OIA']","['DCA', 'OIA', 'BPA']","['DCA', 'OIA', 'BPA']"
10,"Phishing campaign disrupts billing systems"",","American Water experienced a cybersecurity incident, with initial access gained through compromised identities. As a precaution, the company disconnected certain systems and paused customer billing, assuring customers they wouldn't incur late fees. While water and wastewater facilities remain operational, the company is investigating the full scope of the breach and working with law enforcement. The incident highlights the critical need for organizations to prioritize protecting systems targeted by threat actors through robust identity management practices.","['DCA', 'OIA', 'EFA']","['DCA', 'OIA', 'EFA', 'BPA']","['DCA', 'EFA']"
